file	Number of variables	Number of clauses	Parse time (s)	Simplification time (s)	restarts	conflicts	decisions	propagations	conflict literals	Memory used (MB)	CPU time (s)	Satisfiability
flat100-1-out.txt	           300                                         |	            1117                                         |	                   0.00	          0.00	1	30	52	1273	251	11.00	0.007669	SATISFIABLE
flat100-10-out.txt	           300                                         |	            1117                                         |	                   0.00	          0.00	1	48	84	2390	589	11.00	0.007596	SATISFIABLE
flat100-100-out.txt	           300                                         |	            1117                                         |	                   0.00	          0.00	1	6	34	352	58	11.00	0.006712	SATISFIABLE
flat100-11-out.txt	           300                                         |	            1117                                         |	                   0.00	          0.00	1	11	29	679	100	11.00	0.007665	SATISFIABLE
flat100-12-out.txt	           300                                         |	            1117                                         |	                   0.00	          0.00	1	25	43	1024	162	11.00	0.007797	SATISFIABLE
flat100-13-out.txt	           300                                         |	            1117                                         |	                   0.00	          0.00	1	65	81	3172	527	11.00	0.002379	SATISFIABLE
flat100-14-out.txt	           300                                         |	            1117                                         |	                   0.00	          0.00	1	14	30	728	92	11.00	0.008638	SATISFIABLE
flat100-15-out.txt	           300                                         |	            1117                                         |	                   0.00	          0.00	1	15	38	822	187	11.00	0.003938	SATISFIABLE
flat100-16-out.txt	           300                                         |	            1117                                         |	                   0.00	          0.00	1	2	33	270	22	11.00	0.008139	SATISFIABLE
flat100-17-out.txt	           300                                         |	            1117                                         |	                   0.00	          0.00	1	6	37	341	36	11.00	0.008621	SATISFIABLE
flat100-18-out.txt	           300                                         |	            1117                                         |	                   0.00	          0.00	1	45	67	2017	375	11.00	0.007932	SATISFIABLE
flat100-19-out.txt	           300                                         |	            1117                                         |	                   0.00	          0.00	1	91	116	4887	1024	11.00	0.011171	SATISFIABLE
flat100-2-out.txt	           300                                         |	            1117                                         |	                   0.00	          0.00	1	41	56	1963	456	11.00	0.00921	SATISFIABLE
flat100-20-out.txt	           300                                         |	            1117                                         |	                   0.00	          0.00	1	5	23	486	55	11.00	0.007105	SATISFIABLE
flat100-21-out.txt	           300                                         |	            1117                                         |	                   0.00	          0.00	1	82	116	3792	627	11.00	0.009348	SATISFIABLE
flat100-22-out.txt	           300                                         |	            1117                                         |	                   0.00	          0.00	1	10	37	443	85	11.00	0.007592	SATISFIABLE
flat100-23-out.txt	           300                                         |	            1117                                         |	                   0.00	          0.00	1	89	112	4328	768	11.00	0.008897	SATISFIABLE
flat100-24-out.txt	           300                                         |	            1117                                         |	                   0.00	          0.00	1	19	31	1079	187	11.00	0.003415	SATISFIABLE
flat100-25-out.txt	           300                                         |	            1117                                         |	                   0.00	          0.00	1	43	64	1716	338	11.00	0.003336	SATISFIABLE
flat100-26-out.txt	           300                                         |	            1117                                         |	                   0.00	          0.00	1	39	67	1682	378	11.00	0.011277	SATISFIABLE
flat100-27-out.txt	           300                                         |	            1117                                         |	                   0.00	          0.00	1	15	35	702	134	11.00	0.004632	SATISFIABLE
flat100-28-out.txt	           300                                         |	            1117                                         |	                   0.00	          0.00	1	6	33	356	43	11.00	0	SATISFIABLE
