file	Number of variables	Number of clauses	Parse time (s)	Simplification time (s)	restarts	conflicts	decisions	propagations	conflict literals	Memory used (MB)	CPU time (s)	Satisfiability
uf100-01000-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	2	164	201	4254	1119	11.00	0	SATISFIABLE
uf100-0901-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	4	417	525	9496	2753	11.00	0.011623	SATISFIABLE
uf100-0902-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	1	37	63	768	231	11.00	0.003084	SATISFIABLE
uf100-0903-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	3	234	289	5500	1611	11.00	0.007273	SATISFIABLE
uf100-0904-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	1	26	52	615	208	11.00	0.005503	SATISFIABLE
uf100-0905-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	3	211	277	5279	1607	11.00	0.00606	SATISFIABLE
uf100-0906-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	3	316	423	7951	2259	11.00	0.00668	SATISFIABLE
uf100-0907-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	2	111	149	2709	856	11.00	0.006223	SATISFIABLE
uf100-0908-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	3	215	271	4950	1463	11.00	0.008862	SATISFIABLE
uf100-0909-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	1	57	76	1335	424	11.00	0.005173	SATISFIABLE
uf100-0910-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	3	304	375	7355	1887	11.00	0.002171	SATISFIABLE
uf100-0911-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	1	90	121	2091	618	11.00	0	SATISFIABLE
uf100-0912-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	1	92	125	2068	664	11.00	0.008106	SATISFIABLE
uf100-0913-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	2	195	248	5633	1580	11.00	0.008242	SATISFIABLE
uf100-0914-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	3	263	344	6496	2058	11.00	0.007357	SATISFIABLE
uf100-0915-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	3	340	411	8005	2388	11.00	0.008862	SATISFIABLE
uf100-0916-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	1	80	121	2052	551	11.00	0.007702	SATISFIABLE
uf100-0917-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	2	160	199	3881	1210	11.00	0.007158	SATISFIABLE
uf100-0918-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	2	182	245	4429	1366	11.00	0.0062	SATISFIABLE
uf100-0919-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	6	690	849	17576	4679	11.00	0.01282	SATISFIABLE
uf100-0920-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	2	132	185	3063	896	11.00	0.009705	SATISFIABLE
uf100-0921-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	4	431	527	9807	2786	11.00	0.010281	SATISFIABLE
uf100-0922-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	4	415	516	9510	2451	11.00	0.002734	SATISFIABLE
uf100-0923-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	5	520	653	12483	3598	11.00	0.011538	SATISFIABLE
uf100-0924-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	1	36	55	981	278	11.00	0	SATISFIABLE
uf100-0925-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	5	502	636	11491	3669	11.00	0.011715	SATISFIABLE
uf100-0926-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	3	250	295	5523	1566	11.00	0.004375	SATISFIABLE
uf100-0927-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	6	722	892	17662	4999	11.00	0.007802	SATISFIABLE
uf100-0928-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	1	85	125	1908	652	11.00	0.008854	SATISFIABLE
uf100-0929-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	2	112	167	2672	812	11.00	0.001082	SATISFIABLE
uf100-0930-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	1	24	48	672	141	11.00	0.006986	SATISFIABLE
uf100-0931-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	5	540	634	13005	3310	11.00	0.011285	SATISFIABLE
uf100-0932-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	1	26	49	726	192	11.00	0.000965	SATISFIABLE
uf100-0933-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	2	139	214	3077	996	11.00	0.007853	SATISFIABLE
uf100-0934-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	2	187	245	4096	1307	11.00	0.00811	SATISFIABLE
uf100-0935-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	2	182	242	4252	1441	11.00	0.005363	SATISFIABLE
uf100-0936-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	2	150	195	3688	1103	11.00	0.009295	SATISFIABLE
uf100-0937-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	1	32	63	943	311	11.00	0.004292	SATISFIABLE
uf100-0938-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	4	411	500	9948	2899	11.00	0.013356	SATISFIABLE
uf100-0939-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	1	28	53	671	216	11.00	0.000424	SATISFIABLE
uf100-0940-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	3	344	436	7818	2049	11.00	0.006099	SATISFIABLE
uf100-0941-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	2	120	191	2843	899	11.00	0.009483	SATISFIABLE
uf100-0942-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	3	246	312	5266	1469	11.00	0.005269	SATISFIABLE
uf100-0943-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	5	538	667	12916	3515	11.00	0.008355	SATISFIABLE
uf100-0944-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	2	158	213	3800	1179	11.00	0	SATISFIABLE
uf100-0945-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	1	95	116	2232	646	11.00	0.011648	SATISFIABLE
uf100-0946-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	1	56	95	1309	441	11.00	0.004782	SATISFIABLE
uf100-0947-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	1	57	84	1438	477	11.00	0.003919	SATISFIABLE
uf100-0948-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	3	232	299	5286	1500	11.00	0.011708	SATISFIABLE
uf100-0949-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	3	217	276	4703	1245	11.00	0.012765	SATISFIABLE
uf100-0950-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	1	26	51	599	219	11.00	0.013454	SATISFIABLE
uf100-0951-out.txt	           100                                         |	             430                                         |	                   0.01	          0.00	3	270	328	6358	1873	11.00	0.018493	SATISFIABLE
uf100-0952-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	1	68	92	1648	565	11.00	0.006096	SATISFIABLE
uf100-0953-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	3	390	470	9877	2376	11.00	0.017669	SATISFIABLE
uf100-0954-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	1	95	133	2321	800	11.00	0.009915	SATISFIABLE
uf100-0955-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	2	155	207	4047	1151	11.00	0	SATISFIABLE
uf100-0956-out.txt	           100                                         |	             430                                         |	                   0.01	          0.00	4	428	524	9861	2963	11.00	0.019961	SATISFIABLE
uf100-0957-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	1	45	68	1258	376	11.00	0.010074	SATISFIABLE
uf100-0958-out.txt	           100                                         |	             430                                         |	                   0.01	          0.00	1	68	100	1670	644	11.00	0.013874	SATISFIABLE
uf100-0959-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	1	68	101	1610	442	11.00	0.011846	SATISFIABLE
uf100-0960-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	1	85	136	2060	559	11.00	0.012329	SATISFIABLE
uf100-0961-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	1	24	51	562	167	11.00	0.009779	SATISFIABLE
uf100-0962-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	3	398	499	9226	2524	11.00	0	SATISFIABLE
uf100-0963-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	3	212	293	4953	1406	11.00	0.006134	SATISFIABLE
uf100-0964-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	3	340	451	7941	2496	11.00	0	SATISFIABLE
uf100-0965-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	2	144	194	3054	1084	11.00	0.007413	SATISFIABLE
uf100-0966-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	3	335	424	8014	2478	11.00	0.006164	SATISFIABLE
uf100-0967-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	3	287	370	7063	1848	11.00	0.004164	SATISFIABLE
uf100-0968-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	2	184	253	4637	1339	11.00	0.015651	SATISFIABLE
uf100-0969-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	1	12	38	377	81	11.00	0.010022	SATISFIABLE
uf100-0970-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	1	90	120	2214	716	11.00	0.010179	SATISFIABLE
uf100-0971-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	3	287	372	7308	2367	11.00	0.016373	SATISFIABLE
uf100-0972-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	3	224	284	5456	1241	11.00	0.012536	SATISFIABLE
uf100-0973-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	3	213	290	5004	1774	11.00	0.012372	SATISFIABLE
uf100-0974-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	1	65	87	1677	516	11.00	0.011299	SATISFIABLE
uf100-0975-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	3	221	282	5196	1295	11.00	0.003855	SATISFIABLE
uf100-0976-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	1	82	117	1760	634	11.00	0.012083	SATISFIABLE
uf100-0977-out.txt	           100                                         |	             430                                         |	                   0.01	          0.00	3	303	380	7376	1992	11.00	0.018312	SATISFIABLE
uf100-0978-out.txt	           100                                         |	             430                                         |	                   0.01	          0.00	2	107	159	2646	848	11.00	0.015562	SATISFIABLE
uf100-0979-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	1	33	59	710	299	11.00	0.008886	SATISFIABLE
uf100-0980-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	4	464	555	11151	3136	11.00	0.012424	SATISFIABLE
uf100-0981-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	3	368	429	8553	2253	11.00	0.015087	SATISFIABLE
uf100-0982-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	1	65	111	1653	517	11.00	0.002009	SATISFIABLE
uf100-0983-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	3	214	284	4823	1374	11.00	0	SATISFIABLE
uf100-0984-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	6	619	767	15177	3733	11.00	0.020535	SATISFIABLE
uf100-0985-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	4	439	523	10191	2806	11.00	0.017794	SATISFIABLE
uf100-0986-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	2	191	255	4688	1212	11.00	0.012412	SATISFIABLE
uf100-0987-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	2	196	263	4431	1340	11.00	0.006446	SATISFIABLE
uf100-0988-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	2	128	172	2860	704	11.00	0.010703	SATISFIABLE
uf100-0989-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	6	766	942	17570	5198	11.00	0.017496	SATISFIABLE
uf100-0990-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	1	74	121	2052	520	11.00	0	SATISFIABLE
uf100-0991-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	3	369	472	8542	2989	11.00	0.011203	SATISFIABLE
uf100-0992-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	2	159	229	3872	1206	11.00	0.009533	SATISFIABLE
uf100-0993-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	3	282	376	6659	2002	11.00	0.011193	SATISFIABLE
uf100-0994-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	1	21	47	638	158	11.00	0.003651	SATISFIABLE
uf100-0995-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	5	514	624	12016	3063	11.00	0.01404	SATISFIABLE
uf100-0996-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	6	746	899	17587	4689	11.00	0.00708	SATISFIABLE
uf100-0997-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	3	371	469	9193	2915	11.00	0.013189	SATISFIABLE
uf100-0998-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	2	137	203	3325	951	11.00	0.004348	SATISFIABLE
uf100-0999-out.txt	           100                                         |	             430                                         |	                   0.00	          0.00	3	239	309	5609	1576	11.00	0.010859	SATISFIABLE
